날짜,오늘걸음수,월누적
03/01,5259,184622
03/02,0,184622
03/03,10217,10217
03/04,0,10217
03/05,9375,19592
03/06,0,19592
03/07,13383,32975
03/08,0,32975
03/09,9165,42140
03/10,0,42140
