날짜,오늘걸음수,월누적
06/02,0,390042
06/03,20954,20954
06/04,0,20954
06/05,25198,46152
06/06,22733,68885
06/07,0,68885
06/09,27054,95939
06/10,0,95939
06/11,25013,120952
06/12,24189,145141
06/13,18736,163877
06/15,0,163877
06/16,17181,181058
06/17,0,181058
06/18,20893,201951
06/19,0,201951
06/20,23424,225375
06/21,0,225375
06/22,23057,248432
